French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
car,because
laisse,leash
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
type,type
donné,given
écoute,listen
dont,whose
trouve,find
main,hand
côté,side
pouvoir,power
matin,morning
tellement,so much
venu,came
suite,after
venez,come
vers,towards
mis,placed
belle,beautiful
aimerais,would like to
cause,cause
espère,hope
eau,water
attendez,Wait
arrêter,Stop
terre,Earth
donne,given
loin,far
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
